,sentence,subject
16070,Space suits are made of multi-layered materials to protect against extreme temperatures and radiation.,Aerospace Engineering
12313,"Genetic factors can play a role in the development of tobacco use disorder, with certain genetic variants increasing the risk of nicotine addiction.",Psychology
12006,Modern democracies have evolved to incorporate various forms of representation.,Political Science
11771,The theory has been tested and confirmed by numerous experiments and observations.,Physics
3949,"Clinical pharmacologists use a variety of techniques to study the effects of drugs, including clinical trials and laboratory experiments.",Medicine
12884,"Urban sociology examines the social dynamics of cities, including the relationship between urbanization and crime.",Sociology
2072,Drug-related crimes can have severe consequences for individuals and society.,Law
5822,The study of urban anthropology can help us better understand the ways that people create and negotiate meaning in urban environments.,Anthropology
14693,Effective tax planning can help businesses improve their cash flow and increase profitability.,Accounting
3513,The goal of sampling theory is to make inferences about the population based on the sample.,Mathematics
9498,"Global supply chain management requires a deep understanding of cultural, economic, and regulatory differences between countries.",Economics
7964,The company is actively seeking acquisition opportunities to expand its portfolio.,Business
12976,Critics of exchange theory argue that it oversimplifies human behavior and neglects the role of emotions and norms in social interactions.,Sociology
7482,A business with a healthy cash flow can invest in new opportunities and respond quickly to changes in the market.,Business
13984,The level of significance is the maximum probability of rejecting a true null hypothesis.,Statistics
10027,Summative assessment results can be used to inform instruction and make data-driven decisions.,Education
766,Ecosystem services are essential for maintaining biodiversity and ecosystem health.,Environmental Science
9887,"Merit goods are goods that are considered desirable by the government, but are not necessarily public goods in the classical sense.",Economics
3782,"The female reproductive system is designed to produce eggs, or ova, and support a fertilized egg during pregnancy.",Medicine
12839,"Trauma can lead to feelings of anxiety, depression, and low self-esteem.",Psychology
16419,The NCAA (National Collegiate Athletic Association) is the top-level governing body for college athletics in the US.,American Studies
2860,"Prosody is a key area of research in linguistics, with applications in language teaching, speech therapy, and language acquisition.",Linguistics
1221,Christopher Columbus is one of the most famous explorers of this time period.,History
4864,"Descriptivists argue that language should be studied in its natural, everyday context.",Philosophy
10792,Operators in chemical plant operations must follow strict protocols to ensure compliance with safety and environmental regulations.,Engineering
9640,Tariffs are a common barrier to international trade.,Economics
4924,"The concept of justification is closely tied to the concept of truth, as a justified belief is one that is likely to be true.",Philosophy
4532,The scientific method is a systematic approach to acquiring knowledge.,Philosophy
1672,The Meiji Restoration was a key event in Japanese history and had a profound impact on the country.,History
10567,"The process of curriculum evaluation involves stakeholders such as teachers, students, and administrators.",Education
4055,The central nervous system consists of the brain and spinal cord.,Medicine
6952,"Bryophytes have been used in traditional medicine for centuries, with some species showing promise in the treatment of certain diseases.",Biology
13251,Some sociologists argue that the focus on genetics and crime oversimplifies the complex social and environmental factors that contribute to criminal behavior.,Sociology
14370,"Effective theme development can make a play more engaging, thought-provoking, and memorable.",Theater
11746,Isolated systems are used to simplify complex problems in physics.,Physics
11062,Materials Science is a critical component of the engineering design process.,Engineering
15562,The application of calculus in actuarial science helps in predicting and managing uncertainty.,Actuarial Science
10138,Project-based learning encourages students to take ownership of their learning.,Education
8722,Cognitive computing systems can be used to analyze and understand human emotions and behaviors.,Computer Science
4317,"Theoretical computer science and music theory may seem like unrelated fields, but Pushdown Automaton can bridge the gap.",Music
7385,Plant evolution has led to a wide range of plant diversity.,Biology
5519,Social anthropology is concerned with understanding the social and cultural constructions of human beings.,Anthropology
858,Urban areas are characterized by high population densities and altered environmental conditions.,Geography
9464,"The next step in export-import procedures is the preparation of shipping documents, including commercial invoices and bills of lading.",Economics
4439,"Epistemological skepticism questions the possibility of certain knowledge, arguing that our beliefs may be false or uncertain.",Philosophy
15088,The liquidity ratios are used to assess a company's liquidity position and to identify potential liquidity risks.,Accounting
595,The concept of ecological integrity is closely tied to sustainability.,Environmental Science
7799,The software component of an accounting information system consists of the programs and operating systems used to process accounting data.,Business
1951,"The concept of due process has evolved over time, with the Supreme Court playing a major role in shaping its meaning and scope.",Law
15389,Representation theory is used in actuarial science to study the properties of stochastic processes and their applications to real-world problems.,Actuarial Science
10411,Pedagogy is the study of the theory and practice of education.,Education
10912,Materials scientists work closely with industry partners to develop and commercialize new materials and technologies.,Engineering
6944,Microorganisms have developed complex regulatory systems to respond to changes in their environment.,Biology
7830,A well-planned SEO campaign can improve a business's search engine rankings.,Business
2513,Theft is a crime against the person and their property.,Law
15682,"Financial instruments, such as derivatives, are widely used in actuarial science.",Actuarial Science
5559,The sociology of deviance is a subfield of sociology that focuses on the study of deviant behavior and its social consequences.,Anthropology
16947,American Youth Culture is characterized by a strong emphasis on individualism and personal freedom.,American Studies
7860,The affiliate marketer acts as an intermediary between the consumer and the product creator,Business
13552,Random forests are an ensemble learning method used for classification and regression tasks.,Statistics
4700,"Innate knowledge is often seen as being in conflict with the idea of tabula rasa, or the blank slate.",Philosophy
2233,Judicial activism is a complex and multifaceted phenomenon that raises important questions about the role of judges in a democratic society.,Law
7956,Marketing automation helps to personalize customer interactions,Business
1176,"The benefits of urbanization include improved access to education, healthcare, and employment opportunities.",Geography
11727,The efficiency of a heat engine is limited by the Carnot cycle.,Physics
9693,"The Reagan administration in the 1980s implemented supply-side economic policies, including tax cuts and deregulation.",Economics
10934,"Transportation engineering is a branch of engineering that deals with the planning, design, construction, and maintenance of transportation systems.",Engineering
10798,They use computer-aided design software to plan and simulate building systems.,Engineering
9827,Export-oriented growth is an economic strategy that focuses on producing goods and services for export.,Economics
4241,Formal language is used in music composition to convey complex musical ideas.,Music
5424,Monitoring fields regularly can help to detect pest infestations early.,Agriculture
7447,Customer advocacy marketing is a long-term strategy that requires ongoing effort and dedication.,Business
3401,The representation theory of Lie groups is another important area of study in mathematics.,Mathematics
7492,Revenue recognition policies vary depending on the industry and company.,Business
1550,The Chinese Revolution was a complex and multifaceted process that involved various social classes and interest groups.,History
1009,Geography influences the type of zoning regulations implemented in an area.,Geography
10855,"Machine design is a multidisciplinary field that combines mechanical engineering, materials science, and mathematics.",Engineering
12524,Inhalant Use Disorder is a pattern of using inhalants that causes significant distress or impairment.,Psychology
5095,Sustainable agriculture emphasizes on using organic fertilizers and pesticides.,Agriculture
648,Species that are able to adapt to changing environmental conditions are more likely to survive and thrive in their ecological niche.,Environmental Science
10493,Technology integration is essential for enhancing the teaching-learning experience.,Education
4975,The use of farm machinery has revolutionized the agricultural industry.,Agriculture
13555,Inferential statistics involves using sample data to make conclusions about a population.,Statistics
9515,The macroeconomic models can be used to design and implement economic policies.,Economics
8169,Crystallography is used to determine the three-dimensional arrangement of atoms within a crystal.,Chemistry
11098,"Modern bridges are made from a variety of materials, including steel, concrete, and composite materials.",Engineering
6860,"The Voyager 1 spacecraft is the most distant human-made object in space, with a distance of over 14 billion miles from Earth.",Astronomy
13412,Durkheim's work on anomie has been influential in the development of sociological theories of deviance and social control.,Sociology
15365,Corporate Finance is a critical component of Actuarial Science as it helps to optimize financial performance.,Actuarial Science
9489,Perfect competition is characterized by the absence of any barriers to entry or exit.,Economics
211,Many memoirs are written by celebrities and public figures.,English
10162,Competency-based assessment focuses on student mastery of specific skills.,Education
6343,"Hubble's law is a cornerstone of modern astrophysics, with applications in many areas of research.",Astronomy
1781,"The war led to the Reconstruction era, during which the South was occupied by federal troops and new state governments were established.",History
3543,Maxima and minima are important concepts in multivariable calculus,Mathematics
1438,"The movement's successes paved the way for future social justice movements, such as the feminist movement and the LGBTQ+ rights movement.",History
2868,Phonological universals can be used to identify the sounds of a language.,Linguistics
2434,Original intent is used to interpret the Constitution.,Law
6830,"The New Horizons spacecraft flew by Pluto in 2015, providing the first close-up images of the dwarf planet.",Astronomy
4792,The meaning of words and sentences is not fixed and can vary depending on the context and cultural background.,Philosophy
12484,Divided attention is the ability to process multiple sources of information simultaneously.,Psychology
11020,"Pavement engineers must also consider factors such as drainage, skid resistance, and noise reduction when designing pavement structures.",Engineering
6475,Dark energy is believed to have been present in the universe for at least 5 billion years.,Astronomy
11092,"Electromagnetism is an important area of research in modern physics, with applications in fields such as materials science and nanotechnology.",Engineering
8694,Effective configuration management is critical for the success of software development projects.,Computer Science
10612,Language teaching should focus on developing learners' communicative skills.,Education
13301,Rational Choice Theory is a fundamental concept in sociology that assumes individuals make rational decisions based on their preferences and available options.,Sociology
12,A memoir is a personal narrative that focuses on a specific aspect of the writer's life.,English
11359,Safety protocols are put in place to mitigate risks in engineering.,Engineering
818,Research on human-wildlife conflict mitigation is essential for developing effective solutions.,Environmental Science
13131,Sigmund Freud's psychoanalytic theory suggests that criminal behavior is caused by unconscious desires and feelings of guilt.,Sociology
8184,"The catalyst is not consumed during the reaction, but it can be deactivated over time.",Chemistry
453,Language change is a gradual process that can occur over many years.,English
16821,The prison industrial complex has been criticized for perpetuating racial disparities in the criminal justice system.,American Studies
3457,"Data mining is used in various fields such as marketing, finance, and healthcare.",Mathematics
14149,Collaborative writing can help to build trust and communication among theater collaborators.,Theater
15530,Actuarial science plays a crucial role in the development of financial instruments.,Actuarial Science
9393,The equilibrium price level and real GDP will change when there is a shift in either the aggregate supply or demand curve.,Economics
13233,"Symbolic exchange is a concept in sociology that refers to the exchange of symbols, such as words, gestures, and objects, that have meaning beyond their physical properties.",Sociology
940,Geography helps in identifying areas that are prone to natural disasters and developing strategies for mitigation.,Geography
2739,"Intonation is used to convey emotions such as excitement, boredom, or sarcasm.",Linguistics
9403,"The consumption function is used to analyze the impact of economic policies, such as taxation and government spending, on consumption expenditure.",Economics
11412,The maintenance of transmission lines is essential for ensuring their reliability and extending their lifespan.,Engineering
12366,"Cultural influences play a significant role in shaping our thoughts, feelings, and behaviors.",Psychology
13610,"In machine learning, posterior probability is used to make predictions based on new data.",Statistics
4071,The process of filtration in the kidney is driven by blood pressure and is influenced by hormonal regulation.,Medicine
1400,"The economy began to recover in the late 1930s, but the effects of the Great Depression lasted for decades.",History
7690,"The accounting equation, Assets = Liabilities + Equity, is the foundation of the balance sheet.",Business
8222,The type of chemical bond formed depends on the electronegativity and electron configuration of the atoms involved.,Chemistry
14354,Character names are capitalized and followed by a brief description of their action.,Theater
6363,The mission is expected to launch in the late 2020s and return samples in the early 2030s.,Astronomy
15886,"Bayes' formula is a crucial concept in actuarial science, as it allows actuaries to quantify and manage uncertainty in their predictions.",Actuarial Science
3677,Environmental physiology is concerned with the effects of environmental factors on human health and well-being.,Medicine
13897,"ETL is a crucial step in the data science process, allowing for the extraction of insights from large datasets.",Statistics
10038,It provides students with the ability to communicate effectively in multiple languages.,Education
11671,A closed system is a physical system that does not exchange matter with its surroundings.,Physics
5188,Good irrigation management practices can help reduce the environmental impact of agriculture.,Agriculture
16291,NASA's Mars 2020 rover is equipped with advanced technology to explore the Martian surface.,Aerospace Engineering
1108,Others examine the ways in which human societies are adapting to and mitigating the effects of climate change.,Geography
13661,Data governance is an ongoing process that requires continuous monitoring and improvement.,Statistics
3229,"Mathematical models in predictive analytics are used to forecast sales, customer behavior, and market trends.",Mathematics
9747,"Export-import procedures are subject to regulations and laws, including those related to customs, tariffs, and trade agreements.",Economics
11242,"Hydraulic engineering is used in a wide range of applications, including water supply systems, wastewater treatment, and irrigation.",Engineering
9725,Trade agreements can increase economic growth by increasing trade and investment.,Economics
16924,The concept of American exceptionalism is often linked to the ideology of American conservatism.,American Studies
5835,"Social anthropology is an interdisciplinary field that draws on sociology, psychology, and philosophy.",Anthropology
4326,Automata theory has been used to analyze the structure of musical pieces.,Music
10978,"Foundation engineers design and construct foundations that can withstand various types of loads, including vertical, lateral, and dynamic loads.",Engineering
12212,"The Cold War was fought on multiple fronts, including proxy wars, espionage, and propaganda.",Political Science
2553,The prohibition of torture is a fundamental principle of international criminal law and is enshrined in the UN Convention Against Torture.,Law
2686,Phonological patterns can vary greatly across different languages.,Linguistics
15415,"The binomial distribution is a powerful tool in Actuarial Science, as it allows actuaries to model and analyze complex systems, and to make informed decisions about risk management and pricing.",Actuarial Science
1563,The Yuan Dynasty was known for its tolerance of different cultures and religions.,History
12870,Social learning theory proposes that people learn new behaviors by observing and imitating others.,Sociology
555,It helps us understand the impact of human activities on the environment.,Environmental Science
3071,Homological algebra is used to study the properties of manifolds and their topological invariants.,Mathematics
4474,"Non-cognitivists respond that their view does not preclude moral discussion, but rather shifts the focus to persuasive rhetoric.",Philosophy
7529,Assets are an important consideration in mergers and acquisitions,Business
9239,SVMs can be used for multi-class classification problems.,Computer Science
14152,Theater practitioners like Ernst Toller and Georg Kaiser were key figures in this movement.,Theater
16830,"Abigail Williams, on the other hand, is a manipulative and vengeful character, who uses her power to destroy others.",American Studies
1416,The Qing dynasty was preceded by the Ming dynasty and succeeded by the Republic of China.,History
10363,Formative assessment is an essential component of the instructional process because it helps teachers to adjust their instruction to meet the needs of their students.,Education
13604,The goal of ETL is to produce a clean and consistent dataset that can be used for analysis and reporting.,Statistics
4601,Care ethics emphasizes the importance of relationships and interdependence in moral decision-making.,Philosophy
14387,Playwrights like Moliere and Voltaire were popular in the 18th century.,Theater
7399,Palynology is the study of pollen and spores.,Biology
16444,Political polarization is fueled by conflicting ideologies and values.,American Studies
13028,"The concept of anomie is central to Durkheim's theory, referring to a state of normlessness in society.",Sociology
13105,Sociologists study the demographics of education to understand how education can be used as a tool for social mobility and social change.,Sociology
8814,Abductive reasoning involves making educated guesses from incomplete information.,Computer Science
15247,Social auditing is a process of evaluating an organization's social responsibility performance.,Accounting
9509,The concept of utility maximization is central to understanding consumer behavior.,Economics
11875,International security is a critical aspect of international relations.,Political Science
9097,"Aspect-oriented software development involves the use of aspects, which are functions that provide additional functionality to existing code.",Computer Science
14815,Double taxation can be avoided through the use of tax credits and deductions.,Accounting
28,"The concept of register is central to functional linguistics, referring to the variety of language used in a specific social context.",English
355,Literary Theory is a branch of literary criticism that seeks to understand the principles and methods of literature.,English
13215,There is a correlation between economic instability and low marriage rates.,Sociology
12618,"Infants are able to learn and remember new information, such as recognizing familiar objects and people.",Psychology
13388,Dramaturgy is a crucial aspect of sociology as it helps in understanding the social dynamics of a performance.,Sociology
14643,Multinational corporations are often accused of tax avoidance.,Accounting
8524,Diethyl ether is a common solvent used in organic synthesis.,Chemistry
5643,"The sociology of gender has implications for policy-making and social justice, as it highlights the need to address gender-based discrimination and inequality.",Anthropology
6865,Gravitational physics is a crucial aspect of astronomy that deals with the study of gravity and its effects on celestial objects.,Astronomy
14585,Prevention costs are incurred to prevent defects and quality problems from occurring.,Accounting
9701,Supply-side economics focuses on the production of goods and services rather than the demand for them.,Economics
15994,Flight dynamics is a branch of aerospace engineering that deals with the study of aircraft and spacecraft motion.,Aerospace Engineering
4224,Music therapy is a form of therapy that uses music.,Music
964,The effects of climate change are evident in extreme weather events.,Geography
6749,The surface of Mars has many geological features similar to those on Earth.,Astronomy
120,The old mansion creaked and groaned in the dead of night.,English
6794,"Uranus has a system of 13 thin rings, which are dark and composed of small, icy particles.",Astronomy
4228,Music data mining uses regular expressions to extract insights.,Music
5579,Race and ethnicity are often used as proxy variables for socioeconomic status and access to resources.,Anthropology
328,The genre of memoir has become increasingly popular in recent years.,English
4710,The foundationalist approach to knowledge rests on the idea that some beliefs are basic or foundational.,Philosophy
3281,The double integral in polar coordinates is used to solve problems involving circular or radial symmetry.,Mathematics
2370,Consumer law protects the rights of individuals who purchase goods and services.,Law
5522,"The concept of culture is central to anthropology and sociology, but the two disciplines approach it from different perspectives.",Anthropology
2544,The law of family relations is governed by a combination of federal and state laws.,Law
12160,The primary goal of a nation's foreign policy is to protect its national interests.,Political Science
2178,The War Powers Resolution requires the president to report to Congress within 48 hours of deploying troops into hostilities.,Law
4898,"Instead, it seeks to provide a neutral, objective description of moral values and practices.",Philosophy
5153,Grassland management also involves controlling weeds and pests,Agriculture
1209,The land included parts of 15 current U.S. states and two Canadian provinces.,History
16140,Spacewalks can be hazardous due to the extreme temperatures and lack of oxygen in space.,Aerospace Engineering
14091,The boundaries between reality and fiction are frequently blurred.,Theater
3123,Triple integrals can be evaluated using the Fubini's theorem.,Mathematics
14342,Roman comedy was a popular form of entertainment in ancient Rome.,Theater
10126,"Academic achievement can be measured in various ways, including grades and test scores.",Education
3766,Bioavailability is the extent to which a drug becomes available to the target site in the body.,Medicine
12811,"According to the National Institute on Drug Abuse, approximately 20.3 million people in the US have a substance use disorder.",Psychology
13473,Cesare Beccaria is considered the father of the Classical Theory of Crime.,Sociology
16295,"Escape velocity is not just limited to space travel, it also has applications in the design of high-speed vehicles and projectiles.",Aerospace Engineering
4550,"Some philosophers argue that a priori knowledge is necessary for certain kinds of knowledge, such as mathematical knowledge or metaphysical knowledge.",Philosophy
15973,Gravitational forces play a crucial role in aerospace engineering.,Aerospace Engineering
16117,The payload of a spacecraft is the scientific instrument or experiment that is being carried into space.,Aerospace Engineering
11325,"Thermodynamic systems can be classified as open, closed, or isolated systems.",Engineering
13717,"The theorem has been widely used in various fields, including medicine, finance, and engineering.",Statistics
11212,Statics is the branch of mechanics that deals with the study of objects at rest.,Engineering
1561,The European Union has a central bank that manages the euro.,History
13833,It involves the application of mathematical functions to modify the scale or units of the data.,Statistics
6213,High-energy astrophysics is the study of high-energy events and processes in the universe.,Astronomy
14464,Cost accounting is used to determine the profitability of a product or service.,Accounting
4541,"Feminist epistemology challenges the idea that there is a single, objective truth.",Philosophy
1782,"The Han Dynasty was known for its significant cultural achievements, including the development of poetry, music, and art.",History
8897,Logistic regression is a type of regression analysis used for predicting a binary outcome variable based on one or more predictor variables.,Computer Science
1095,Urban renewal efforts often involve the redevelopment of brownfield sites.,Geography
5544,"Science and Technology Studies has been the subject of several influential edited volumes and journals, including the journal Science, Technology, & Human Values.",Anthropology
12766,Peer relationships are essential for the development of social skills in children.,Psychology
10499,Critical thinking helps students to evaluate information in education.,Education
14791,The tax compliance officer is responsible for submitting tax returns.,Accounting
677,"The process of species reintroduction involves several stages, including species selection, habitat preparation, and population monitoring.",Environmental Science
13263,"It focuses on the social, political, and economic experiences of women.",Sociology
1392,"Unemployment rates soared, with over 25% of Americans losing their jobs.",History
752,Agroforestry is a sustainable forestry practice that integrates trees into agricultural landscapes.,Environmental Science
3737,"The pelvic cavity is a common site for surgical procedures, such as cesarean sections and hysterectomies.",Medicine
2976,The ANOVA test is a parametric test used to compare the means of three or more groups.,Mathematics
6694,"Space-based telescopes have led to numerous groundbreaking discoveries, including the detection of dark energy and dark matter.",Astronomy
3215,"The symmetric group Sn is the group of all permutations of the set {1,2,...,n} and is a fundamental object of study in group theory.",Mathematics
1770,The period was marked by the growth of a large and wealthy merchant class.,History
16702,Wharton's writing often critiques the social class system of her time.,American Studies
12122,"Comparative politics of Asia is an interdisciplinary field that draws on concepts and methods from political science, sociology, economics, and history.",Political Science
3022,"In machine learning, a model is trained on a dataset to enable it to make predictions on new, unseen data",Mathematics
5401,Dairy farming is an essential part of the food supply chain.,Agriculture
7856,"GAAP ensures that financial statements are transparent, consistent, and reliable.",Business
6875,"Rocket propulsion is a critical technology for space exploration and has been used in many historic missions, including the Apollo moon landings.",Astronomy
5191,Plant breeding has the potential to address the challenges of climate change.,Agriculture
4619,"Eudaimonia is a key concept in virtue ethics, which emphasizes the importance of character and moral development.",Philosophy
13134,"Social learning theory has been used to explain a wide range of behaviors, from aggression to altruism.",Sociology
11819,"One of the key concepts in Critical Race Theory is the idea of intersectionality, which recognizes that individuals have multiple identities that intersect and interact with systems of oppression.",Political Science
10387,Language teachers should be aware of the cultural backgrounds of their students.,Education
9850,Tariffs are a type of trade barrier that can be used to restrict imports and protect domestic industries.,Economics
8146,"Most salts of silver, lead, and mercury are insoluble.",Chemistry
7968,The asset approach values a business based on the value of its assets.,Business
4264,The use of recursive functions in music has increased exponentially over the years.,Music
9986,"Consumer behavior can be influenced by external factors, such as government policies and technological advancements.",Economics
6825,Gas giants do not have a solid surface like rocky planets.,Astronomy
8113,The magnitude of the crystal field splitting depends on the type of ligands and their arrangement around the metal ion.,Chemistry
701,Ecological indicators are used to measure the health of an ecosystem.,Environmental Science
6170,Dark matter is a hypothetical form of matter that is thought to exist in the universe.,Astronomy
8715,AI planning is a subfield of artificial intelligence that focuses on planning and decision-making.,Computer Science
8159,"Electrochemistry has many applications in the field of medicine, such as in the development of biosensors and medical implants.",Chemistry
6870,"The study of quantum cosmology is interdisciplinary, drawing on techniques from physics, mathematics, and astronomy.",Astronomy
4423,"Prescriptivism has been influential in the development of moral philosophy, particularly in the areas of ethics and metaethics.",Philosophy
6862,The Big Bang theory is widely accepted by the scientific community as the most accurate explanation for the origins of the universe.,Astronomy
6986,The human microbiome is composed of trillions of microorganisms that live within and on the human body.,Biology
4868,"The study of perception is crucial to understanding many areas of philosophy, including metaphysics, ethics, and philosophy of mind.",Philosophy
4376,The Pushdown Automaton model can be used to analyze and generate musical compositions.,Music
13264,"In his work, Foucault examines how power operates through discourse, or systems of knowledge and communication.",Sociology
2926,The phonological pattern of a language can influence its writing system.,Linguistics
14206,The workshopping process helped the director to identify the weaknesses in the script.,Theater
15703,The Monotone Convergence Theorem is a fundamental result in actuarial science that deals with the convergence of a monotone sequence of functions.,Actuarial Science
14647,Tax compliance involves adhering to tax laws and regulations.,Accounting
4350,Jazz music originated in the southern United States.,Music
14465,Audit reporting helps to ensure the integrity and transparency of financial statements.,Accounting
3697,"They investigate the neural mechanisms underlying neurological disorders, such as Alzheimer's disease and Parkinson's disease.",Medicine
2013,"The concept of due process has been interpreted to include a wide range of protections for individuals, including the right to a fair trial.",Law
12684,Children's moral development is shaped by their relationships with caregivers and peers.,Psychology
15856,"In actuarial science, the law of total probability is applied to a wide range of applications, including insurance, pensions, and investments.",Actuarial Science
5677,Anthropologists have used queer theory to critique heteronormative assumptions in research methods.,Anthropology
15632,Actuaries use Markov Chains to develop risk management strategies and calculate insurance premiums.,Actuarial Science
13200,The concept of transnationalism is used to describe the connections and networks that migrants maintain across national borders.,Sociology
2147,"Strict liability torts impose liability without fault, such as in cases of product liability.",Law
2705,Phonologists often examine syllable structure to identify language universals.,Linguistics
11642,Isolated systems are idealized models that do not exist in reality.,Physics
11500,Telecommunications have opened up new opportunities for businesses and individuals alike.,Engineering
14092,The contemporary theater scene is characterized by its diversity and experimentation.,Theater
810,"Human ecology is an interdisciplinary field that combines concepts from ecology, sociology, and economics.",Environmental Science
5317,Breeding programs have been implemented to preserve and protect endangered species.,Agriculture
9998,"Formative assessments are used to inform instruction, while summative assessments are used to evaluate student learning.",Education
312,"Some novels are considered classics, such as 'Pride and Prejudice' and 'War and Peace'.",English
2073,Gang violence has devastating effects on communities.,Law
13461,Critical criminology focuses on the role of power and inequality in shaping crime and justice.,Sociology
16621,Christianity is the most widely practiced religion in the United States.,American Studies
7734,"An accounting information system typically includes several components, such as hardware, software, and people.",Business
885,"Population geographers study the demographic characteristics of populations, such as age, sex, and occupation.",Geography
1790,The late 19th and early 20th centuries saw the rise of industrial giants like Andrew Carnegie and John D. Rockefeller.,History
9888,Studying consumer behavior helps economists to understand how people respond to changes in prices and income.,Economics
3454,The log-rank test is a popular method for comparing the survival distributions of different groups in survival analysis.,Mathematics
3895,The kidneys play a crucial role in maintaining fluid and electrolyte balance in the body.,Medicine
16829,The Pollution Prevention Act of 1990 encouraged companies to reduce their waste and pollution.,American Studies
10471,It encourages students to take ownership of their learning and develop a sense of autonomy.,Education
15691,Algebra is a fundamental tool for actuaries to model and analyze complex systems.,Actuarial Science
8249,"Electrochemistry is used in the purification of metals, such as copper and silver.",Chemistry
16142,The Apollo 11 mission successfully landed astronauts on the Moon's surface in 1969.,Aerospace Engineering
8012,Coordination compounds are a class of compounds in which a central metal atom is bonded to one or more molecules or ions.,Chemistry
11628,"Isothermal processes are used in many real-world applications, including air conditioners and refrigerators.",Physics
10598,Education promotes social development by fostering critical thinking.,Education
15790,The analysis of mortality rates is a critical component of Actuarial Science in the life insurance industry.,Actuarial Science
16226,Orbital trajectories are critical for ensuring the safe and efficient operation of spacecraft.,Aerospace Engineering
7925,Accountants must be aware of their own biases and avoid conflicts of interest in their professional judgment.,Business
1468,The Gold Rush of 1848 led to a mass migration of people to California.,History
470,Urban parks can provide habitat for native species and mitigate the urban heat island effect.,Environmental Science
2722,Phonological typology is an important area of research in linguistics.,Linguistics
5419,Agricultural engineers are involved in the development of biotechnology and its applications in agriculture.,Agriculture
9102,The goal of AI is to create machines that can perform tasks that typically require human intelligence,Computer Science
15169,The dividend payout ratio calculates the percentage of net income distributed to shareholders as dividends.,Accounting
10498,Fostering creativity in education can lead to increased student motivation and confidence.,Education
6041,The rings of Jupiter are much less prominent than those of Saturn.,Astronomy
2744,"Syllable structure is composed of an onset, a nucleus, and a coda.",Linguistics
15407,"Fiscal policy decisions are often informed by actuarial science, which helps policymakers understand the long-term implications of their choices.",Actuarial Science
8889,"The most common types of data visualization are scatter plots, bar charts, and line graphs.",Computer Science
12584,Inhalant Use Disorder can have serious and long-lasting effects on the brain and body.,Psychology
14072,Epic Theater sought to make the audience think critically about the performance.,Theater
4674,It involves reasoning from general principles to specific cases.,Philosophy
7456,A cash flow forecast is a vital tool for businesses to anticipate and prepare for potential cash shortfalls.,Business
10895,Power systems engineers design and develop systems to transmit and distribute electricity efficiently.,Engineering
13287,The theory was developed by Edwin Sutherland in 1939.,Sociology
6379,The cosmological principle is a fundamental assumption in modern cosmology.,Astronomy
10170,A strong teacher-student bond can lead to better academic performance.,Education
13435,"The occupation with the highest median salary is anesthesiologists, with a median salary of $267,050.",Sociology
16165,"Boundary layers can be laminar or turbulent, with laminar flows being more efficient and turbulent flows being more resistant to flow.",Aerospace Engineering
1075,GIS-based analysis in urban planning enables the identification of potential development sites.,Geography
3936,Pharmacokinetic modeling is used to predict the behavior of drugs in the body.,Medicine
12751,Tobacco use disorder is a chronic condition characterized by compulsive tobacco use despite negative health consequences.,Psychology
15884,Actuaries apply game theory to determine the optimal premium rates for insurance policies.,Actuarial Science
4207,The goal of drug development is to create a safe and effective medicine.,Medicine
6713,"Radio astronomy has been used to study black holes, neutron stars, and other extreme objects.",Astronomy
2149,The United Nations Charter is a treaty that outlines the purposes and principles of the United Nations.,Law
8511,Enzymes are biological molecules that catalyze specific chemical reactions in living organisms.,Chemistry
13444,"Further research is needed to fully understand the relationship between genetics and crime, and to develop effective prevention and intervention strategies.",Sociology
15897,Combinatorics is a fundamental area of mathematics that has numerous applications in actuarial science.,Actuarial Science
16431,The National Security Council is the principal forum used by the President of the United States to consider national security and foreign policy matters with his senior advisors.,American Studies
7339,Immunologists study the immune system and its functions to understand how it responds to pathogens and develops immunity.,Biology
9285,It is an essential process for organizations that want to improve the quality and efficiency of their software systems.,Computer Science
10405,"Teachers can use various techniques to manage student behavior, such as positive reinforcement and redirection.",Education
10702,"The field of geotechnical engineering is constantly evolving, with new technologies and techniques being developed all the time.",Engineering
16959,The American Abstract Expressionist movement was led by artists like Jackson Pollock and Willem de Kooning.,American Studies
13026,Retreatism involves rejecting both the cultural goals and institutional means.,Sociology
10538,Summative assessment is a method of evaluating student learning at the end of a lesson or unit.,Education
15442,"The normal distribution, also known as the Gaussian distribution or the bell curve, is a continuous probability distribution that is commonly observed in natural phenomena.",Actuarial Science
2509,"Racially motivated crimes can take many forms, including vandalism, assault, and murder.",Law
7281,The misuse of antibiotics in agriculture has contributed to the rise of antimicrobial resistance.,Biology
12255,Emotional intelligence is the ability to recognize and understand emotions in oneself and others.,Psychology
4067,Blood pressure is the force exerted by blood on the walls of blood vessels.,Medicine
9785,"Export-import procedures may also involve the use of trade finance instruments, such as letters of credit.",Economics
14169,"In script formatting, the title page is usually centered and in all capital letters.",Theater
3145,"Rational expressions are used to model real-world problems, such as calculating distances and rates",Mathematics
16528,Gun ownership is a cultural phenomenon in the United States.,American Studies
10596,Teachers with high emotional intelligence can create a more positive and supportive classroom environment.,Education
14734,"In some cases, sales tax may be collected at a later date, such as when a product is delivered.",Accounting
7926,The acquisition will provide the company with access to new markets and customers.,Business
13968,Data cleaning involves transforming data into a format suitable for analysis.,Statistics
